PMID,Title,Authors,Journal/Book,Publication Year,DOI,Was the allocation sequence adequately generated and applied?,Were the groups similar at baseline or were they adjusted for confounders in the analysis?,Was the allocation to the different groups adequately concealed?,Were the animals randomly housed during the experiment?,Were the caregivers and/or investigators blinded from knowledge which intervention each animal received during the experiment?,Were animals selected at random for outcome assessment?,Was the outcome assessor blinded?,Were incomplete outcome data adequately addressed?,Are reports of the study free of selective outcome reporting?,Was the study apparently free of other problems that could result in high risk of bias? (Marked as 'unclear' if experimental unit is not explicitly reported),Notes
37578355,(S)-Ketamine but Not (R)-Ketamine Shows Acute Effects on Depression-Like Behavior and Sleep-Wake Architecture in Rats,"Koncz S, Papp N, Pothorszki D, Bagdy G.",Int J Neuropsychopharmacol,2023,10.1093/ijnp/pyad050,No,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Data complete,Yes,No,"""All rats in a given cage received identical treatment, which was chosen using randomization for cages""; ""The behavior of the animals was video-recorded for 5 minutes and later scored for immobility, swimming, climbing, and diving manually using EthoVision XT 15 (Noldus Information Technology, Wageningen, Netherlands) by 2 blinded experimenters"""
37315214,Date palm spathe extract reverses chronic stress-induced changes in dendritic arborization in the amygdala and impairment of hippocampal long-term potentiation,"Hadipour M, Meftahi GH, Jahromi GP.",Synapse,2023,10.1002/syn.22278,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
37259443,Targeting the Endoplasmic Reticulum Stress-Linked PERK/GRP78/CHOP Pathway with Magnesium Sulfate Attenuates Chronic-Restraint-Stress-Induced Depression-like Neuropathology in Rats,"Arab HH, Khames A, Alsufyani SE, El-Sheikh AAK, Gad AM.",Pharmaceuticals (Basel),2023,10.3390/ph16020300,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
37201894,Functional magnetic resonance imaging study on anxiety and depression disorders induced by chronic restraint stress in rats,"Li Z, Ma Y, Dong B, Hu B, He H, Jia J, Xiong M, Xu T, Xu B, Xi W.",Behav Brain Res,2023,10.1016/j.bbr.2023.114496,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,"""Rats were randomly divided into healthy control group (n = 12) and CRS model group (n = 10)"": unclear why they were not allocated equally"
37152003,Tarooneh extract relieves anxiety-like behaviors and cognitive deficits by inhibiting synaptic loss in the hippocampus and frontal cortex in rats subjected to chronic restraint stress,"Hadipour M, Refahi S, Jangravi Z, Meftahi GH.",3 Biotech,2023,10.1007/s13205-023-03577-0,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
36921909,Chronic restraint stress alters rat behavior depending on sex and duration of stress,"Pansarim V, Leite-Panissi CRA, Schmidt A.",Behav Processes,2023,10.1016/j.beproc.2023.104856,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"""The animals arrived at seven weeks old (males and females weighing approximately 280 g and 200 g, respectively) and were housed in pairs of the same sex and the same experimental condition in polycarbonate cages""; ""One subject (male; stress 22 days) was excluded from data analysis due to a motor disorder that led to interrupting the experiment"""
36746244,Tryptophan-kynurenine metabolic characterization in the gut and brain of depressive-like rats induced by chronic restraint stress,"Li CC, Ye F, Xu CX, Jiang N, Chang Q, Liu XM, Pan RL.",J Affect Disord,2023,10.1016/j.jad.2023.02.008,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
36728843,Silent information regulator 1 mediates H 2 S-inhibited chronic restraint stress-induced depressive-like behaviors by regulating hippocampal autophagy,"Du L, Chen L, Luo B, Chen YJ, Zhang P, Tang YY, Jiang JM, Zou W.",Neuroreport,2023,10.1097/WNR.0000000000001870,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
36450831,A repeated measures cognitive affective bias test in rats: comparison with forced swim test,"Aliphon B, Dai T, Moretti J, Penrose-Menz M, Mulders WHAM, Blache D, Rodger J.",Psychopharmacology (Berl),2023,10.1007/s00213-022-06281-8,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Evaluator blinded for FST only
36345420,KXS Balances the Tryptophan Metabolism in Mild to Moderate Depressed Patients and Chronic Restraint Stress Induced Depressive Rats,"Wang Y, Li X, Jing R, Yang W, Wang Y, Wang C, Yao L, Cui X, Hu Y.",Neuropsychiatr Dis Treat,2022,10.2147/NDT.S377982,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,"""Rats were screened by sucrose preference test before recruitment. Eligible individuals were kept for follow-up management""; ""The depressed rats were randomly distributed into CRS group (n = 12) and KXS treated group (n = 12)"""
36162616,Melatonin attenuates chronic stress-induced hippocampal inflammatory response and apoptosis by inhibiting ADAM17/TNF-α axis,"Zhang H, Wei M, Sun N, Wang H, Fan H.",Food Chem Toxicol,2022,10.1016/j.fct.2022.113441,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"""144 rats were randomly divided into 8 groups with 18 rats in each group and 3 rats in each cage"" : n = 12 reported for OFT (Fig 1)"
36100011,CRS induces depression-like behavior after MCAO in rats possibly by activating p38 MAPK,"Zhi L, Zhang F, Liu H, Jiang X, Zhang Y, Yang Q, Zhang X, Liu M, Zhang Z, Song J.",Behav Brain Res,2023,10.1016/j.bbr.2022.114104,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
35925279,Ketamine induces rapid antidepressant effects via the autophagy-NLRP3 inflammasome pathway,"Lyu D, Wang F, Zhang M, Yang W, Huang H, Huang Q, Wu C, Qian N, Wang M, Zhang H, Zheng S, Chen J, Fu Y, Zhang C, Li Z, Hong W.",Psychopharmacology (Berl),2022,10.1007/s00213-022-06201-w,No,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,""" forty WKY rats were randomly subjected to CRS (n = 32) or not subjected to CRS (forming a control group; n = 8)"";  ""After 28 days of CRS procedures, thirty-one of the 32 CRS rats remained alive"". Fig 1 reports n=8-12"
35873784,Study of Antidepressant-Like Effects of Albiflorin and Paeoniflorin Through Metabolomics From the Perspective of Cancer-Related Depression,"Zhao D, Zhang J, Zhu Y, He C, Fei W, Yue N, Wang C, Wang L.",Front Neurol,2022,10.3389/fneur.2022.828612,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,"""all the rats were randomly assigned to the following five groups … with each experimental group consisting of eight mice"""
35814204,Xiaoyaosan Ameliorates Chronic Restraint Stress-Induced Depression-Like Phenotype by Suppressing A2AR Signaling in the Rat Striatum,"Zhu X, Ma Q, Yang F, Li X, Liu Y, Chen J, Li L, Chen M, Zou X, Yan L, Chen J.",Front Pharmacol,2022,10.3389/fphar.2022.897436,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
35780963,Comparative analysis of gut microbiota and fecal metabolome features among multiple depressive animal models,"Liu X, Li X, Teng T, Jiang Y, Xiang Y, Fan L, Yu Y, Zhou X, Xie P.",J Affect Disord,2022,10.1016/j.jad.2022.06.088,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Unclear,Unclear,"Randomisation to groups done using a ""computer randomization table"". Suppl Fig 1 shows exclusion of 23 rats in ""SPT endpoint test"", but it is not clear on what basis rats are excluded.  ""SPT baseline test"" excluded 4 rats with a sucrose preference of 0.574, based on the ""95 % reference interval"" - this was done before randomisation to groups. Only 40 rats from the ""susceptible"" group of 53 rats were taken forward to subsequent studies. ""rats randomly assigned in the four models as following ... CRS/Control = 12/10"", but Fig 1 legend: ""All behavioral results are presented as mean ± SEM (n = 10)"""
35727683,A rat study model of depression-driven chronic prostatitis by modulating the PI3K/Akt/mTOR network,"Feng JL, Hou D, Zhao C, Bao BH, Huang SY, Deng S, Meng FC, Zhao Q, Wang B, Li HS, Wang JS.",Andrologia,2022,10.1111/and.14488,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,"Randomisation to groups done by a ""random number table method"". "
35615771,Mechanistic analysis of erectile dysfunction in a depression rat model,"Hong ZM, Chen ZL, Feng JL, Wang SJ, Qiu JF, Zeng YL, Wang Q, Wang JS.",J Int Med Res,2022,10.1177/03000605221100334,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
35569374,Co-exposure of chronic stress and alumina nanoparticles aggravates hippocampal microglia pyroptosis by activating cathepsin B/NLRP3 signaling pathway,"Zhang H, Wang J, Ruan C, Gao Z, Zhu Q, Li S.",J Hazard Mater,2022,10.1016/j.jhazmat.2022.129093,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,"""rats were divided into 6 groups on average randomly"""
35528472,Kamikihito rescued depressive-like behaviors and hippocampus neurogenesis in chronic restraint stress rats,"Adachi N, Sakhri FZ, Ikemoto H, Ohashi Y, Kato M, Inoue T, Hisamitsu T, Sunagawa M.",J Tradit Complement Med,2021,10.1016/j.jtcme.2021.08.001,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
35252485,Chronic restraint stress produces sex-specific behavioral and molecular outcomes in the dorsal and ventral rat hippocampus,"Olave FA, Aguayo FI, Román-Albasini L, Corrales WA, Silva JP, González PI, Lagos S, García MA, Alarcón-Mardones M, Rojas PS, Xu X, Cidlowski JA, Aliaga E, Fiedler J.",Neurobiol Stress,2022,10.1016/j.ynstr.2022.100440,Unclear,Similar at baseline,Unclear,No,Unclear,Unclear,Yes,No,Yes,Unclear,"""rats were maintained in separate rooms by both sex and stress""; ""Three different cohort of rats were employed: one cohort was exclusively used for behavioral analysis (females: control = 10, stress = 10; males: control = 10, stress = 10)""; In legend for Fig 2: ""A decrease in sucrose preference was observed only in stressed males compared to controls. n = 9–10 rats per group"", ""Chronic stress decreased the discrimination index of object location in males, and increased it in females. n = 9–10 rats per group"", ""path length (n = 9–12 rats per group)"". Evaluator blind for object location task and novel object recognition task only."
35230663,Ginsenoside Rg1 Reduced Microglial Activation and Mitochondrial Dysfunction to Alleviate Depression-Like Behaviour Via the GAS5/EZH2/SOCS3/NRF2 Axis,"Li J, Gao W, Zhao Z, Li Y, Yang L, Wei W, Ren F, Li Y, Yu Y, Duan W, Li J, Dai B, Guo R.",Mol Neurobiol,2022,10.1007/s12035-022-02740-7,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"""The animal treatment (n≥ 5) of the experiments"""
34780859,Differential effects of chronic stress on anxiety-like behavior and contextual fear conditioning in the TgF344-AD rat model of Alzheimer's disease,"Pentkowski NS, Bouquin SJ, Maestas-Olguin CR, Villasenor ZM, Clark BJ.",Behav Brain Res,2022,10.1016/j.bbr.2021.113661,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,""" All non-automated behaviors for each test were scored by a single highly-trained observer blind to group assignment """
34704719,NLRP3-mediated Neuroinflammation Exacerbates Incisional Hyperalgesia and Prolongs Recovery After Surgery in Chronic Stressed Rats,"Meng Y, Zhuang L, Xue Q, Zhang J, Yu B.",Pain Physician,2021,https://www.painphysicianjournal.com/current/pdf?article=NzM1Mw%3D%3D&journal=139,Unclear,Similar at baseline,Unclear,No,Unclear,Unclear,Yes,Unclear,Yes,Unclear,"""The chronic stressed rats were housed in separate cages, while the control rats were housed 3 rats to a cage"". Evaluator blinded for FST only"
34646421,Jie-Yu-He-Huan Capsule Ameliorates Anxiety-Like Behaviours in Rats Exposed to Chronic Restraint Stress via the cAMP/PKA/CREB/BDNF Signalling Pathway,"Geng X, Wu H, Li Z, Li C, Chen D, Zong J, Liu Z, Wei S, Peng W.",Oxid Med Cell Longev,2021,10.1155/2021/1703981,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
34409523,"Therapeutic Potential of Curcumin in Reversing the Depression and Associated Pseudodementia via Modulating Stress Hormone, Hippocampal Neurotransmitters, and BDNF Levels in Rats","Afzal A, Batool Z, Sadir S, Liaquat L, Shahzad S, Tabassum S, Ahmad S, Kamil N, Perveen T, Haider S.",Neurochem Res,2021,10.1007/s11064-021-03430-x,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
34167364,Effects of Achillea tenuifolia Lam. hydro-alcoholic extract on anxiety-like behavior and reproductive parameters in rat model of chronic restraint stress,"Bagheri Y, Fathi E, Maghoul A, Moshtagh S, Mokhtari K, Abdollahpour A, Montazersaheb S, Bagheri A.",Hum Exp Toxicol,2021,10.1177/09603271211026723,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,No,Yes,Unclear,"""Male Wistar rats (n = 35), (230–250 g) were purchased from Pasture Institute … rats were randomly divided into five groups, including nine rats in each group"". Table 1 (EPM): ""n=7""; n not given for SPT data. Evaluator blinded for EPM only."
34052298,Spilanthes acmella Murr. ameliorates chronic stress through improving mitochondrial function in chronic restraint stress rats,"Suwanjang W, Ruankham W, Chetsawang B, Mukda S, Ngampramuan S, Srisung S, Prachayasittikul V, Prachayasittikul S.",Neurochem Int,2021,10.1016/j.neuint.2021.105083,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
34025340,Tetramethylpyrazine Alleviates Behavioral and Psychological Symptoms of Dementia Through Facilitating Hippocampal Synaptic Plasticity in Rats With Chronic Cerebral Hypoperfusion,"Tan Z, Qiu J, Zhang Y, Yang Q, Yin X, Li J, Liu G, Li H, Yang G.",Front Neurosci,2021,10.3389/fnins.2021.646537,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,"140 rats used, ""rats were randomly designated into four groups: Sham (without stress), CRS (Sham with CRS)"", biut not clear how many rats in each group. Fig 1 reports n=20 in each group."
33766670,Chronic restraint stress induced changes in colonic homeostasis-related indexes and tryptophan-kynurenine metabolism in rats,"Li CC, Gan L, Tan Y, Yan MZ, Liu XM, Chang Q, Pan RL.",J Proteomics,2021,10.1016/j.jprot.2021.104190,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
33545198,Protective effect of ginsenoside Rb1 against chronic restraint stress (CRS)-induced memory impairments in rats,"Jiang N, Wang K, Zhang Y, Huang H, Lv JW, Wang Q, Wang HX, Xia TJ, Liu XM.",Behav Brain Res,2021,10.1016/j.bbr.2021.113146,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
33505499,Xiaoyaosan Exerts Therapeutic Effects on the Colon of Chronic Restraint Stress Model Rats via the Regulation of Immunoinflammatory Activation Induced by the TLR4/NLRP3 Inflammasome Signaling Pathway,"Zhu HZ, Liang YD, Hao WZ, Ma QY, Li XJ, Li YM, Chen JX.",Evid Based Complement Alternat Med,2021,10.1155/2021/6673538,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"""the rats were randomly divided into 4 groups … with 13 rats allocated to each group""; SPT and FST figures state n=8."
33291797,Ca(v)1.2 Activity and Downstream Signaling Pathways in the Hippocampus of An Animal Model of Depression,"Moreno C, Hermosilla T, Hardy P, Aballai V, Rojas P, Varela D.",Cells,2020,10.3390/cells9122609,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
33276022,Whole body vibration training improves depression-like behaviors in a rat chronic restraint stress model,"Peng G, Yang L, Wu CY, Zhang LL, Wu CY, Li F, Shi HW, Hou J, Zhang LM, Ma X, Xiong J, Pan H, Zhang GQ.",Neurochem Int,2021,10.1016/j.neuint.2020.104926,Yes,Similar at baseline,Unclear,Unclear,Yes,Yes,Yes,Data complete,Yes,Unclear,
33052137,Free Wanderer Powder regulates AMPA receptor homeostasis in chronic restraint stress-induced rat model of depression with liver-depression and spleen-deficiency syndrome,"Xi S, Yue G, Liu Y, Wang Y, Qiu Y, Li Z, Ma P, Liu T, Jiang Y, Liang Y, Liu Q, Shi J, Chen J, Yue L.",Aging (Albany NY),2020,10.18632/aging.103912,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"Rats allocated to groups of 20 but ""n=19 or 20"" reported in legend for Fig 4."
32827575,The involvement of Notch1 signaling pathway in mid-aged female rats under chronic restraint stress,"Shen J, Lin L, Liao L, Liang W, Yang X, Lin K, Ke L, Zhang L, Kang J, Ding S, Li C, Zheng Z.",Neurosci Lett,2020,10.1016/j.neulet.2020.135313,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
32813905,An optimized spectrophotometric assay reveals increased activity of enzymes involved in 2-arachidonoyl glycerol turnover in the cerebral cortex of a rat model of Alzheimer's disease,"Rodrigues MS, Ferreira C, Dias C, Pliássova A, Souza L, Ledo A, Laranjinha J, Cunha RA, Köfalvi A.",Eur J Neurosci,2022,10.1111/ejn.14944,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
32768618,Strain Differences in Responsiveness to Repeated Restraint Stress Affect Remote Contextual Fear Memory and Blood Transcriptomics,"Jung SH, Meckes JK, Schipma MJ, Lim PH, Jenz ST, Przybyl K, Wert SL, Kim S, Luo W, Gacek SA, Jankord R, Hatcher-Solis C, Redei EE.",Neuroscience,2020,10.1016/j.neuroscience.2020.07.052,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
32502515,Multi-omics analysis of pathological changes in the amygdala of rats subjected to chronic restraint stress,"Li Z, Gao C, Peng J, Liu M, Cong B.",Behav Brain Res,2020,10.1016/j.bbr.2020.112735,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
31430442,Changes in gonadal function at different stages of chronic restraint stress-induced depression animals,"Liu B, Zhao L, Yue C, Qian M, Xie M.",Physiol Behav,2019,10.1016/j.physbeh.2019.112656,Yes,Similar at baseline,Unclear,Unclear,Unclear,Yes,Unclear,No,Yes,Unclear,"30 rats in CRS group, ten selected randomly for testing atdifferent points during CRS procedure. 10 rats/group reported but n=8 reported in Figs 2 and 3."
30740068,Brain-Derived Neurotrophic Factor Precursor in the Hippocampus Regulates Both Depressive and Anxiety-Like Behaviors in Rats,"Zhong F, Liu L, Wei JL, Hu ZL, Li L, Wang S, Xu JM, Zhou XF, Li CQ, Yang ZY, Dai RP.",Front Psychiatry,2019,10.3389/fpsyt.2018.00776,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
30735600,Hippocampal activation of 5-HT(1B) receptors and BDNF production by vagus nerve stimulation in rats under chronic restraint stress,"Shin HC, Jo BG, Lee CY, Lee KW, Namgung U.",Eur J Neurosci,2019,10.1111/ejn.14368,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
30656862,Electroconvulsive treatment prevents chronic restraint stress-induced atrophy of the hippocampal formation-A stereological study,"Alemu JL, Elberling F, Azam B, Pakkenberg B, Olesen MV.",Brain Behav,2019,10.1002/brb3.1195,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Includes FST data from a previous study (10.1002/hipo.22351)
30464774,Effect of Restraint Stress on Plasma PTH Concentration and Its Molecular Targets Expressions in Wistar Rats,"Terzioglu-Usak S, Elibol B, Dalli T, Guler C, Aysan E.",Int J Endocrinol Metab,2018,10.5812/ijem.66979,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"Blinding was only for TST, apparently not EPM. 42 rats were aquired, only 28 used in CRS study."
30458283,Hippocampal orexin receptor blocking prevented the stress induced social learning and memory deficits,"Bahramzadeh Zoeram S, Elahdadi Salmani M, Lashkarbolouki T, Goudarzi I.",Neurobiol Learn Mem,2019,10.1016/j.nlm.2018.11.009,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
29561292,Behavioral effects of toll-like receptor-4 antagonist 'eritoran' in an experimental model of depression: role of prefrontal and hippocampal neurogenesis and γ-aminobutyric acid/glutamate balance,"Aboul-Fotouh S, Habib M, Asaad T, Kassim SK, Ghanem MH.",Behav Pharmacol,2018,10.1097/FBP.0000000000000390,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
29379991,Metformin potentiates cognitive and antidepressant effects of fluoxetine in rats exposed to chronic restraint stress and high fat diet: potential involvement of hippocampal c-Jun repression,"Khedr SA, Elmelgy AA, El-Kharashi OA, Abd-Alkhalek HA, Louka ML, Sallam HA, Aboul-Fotouh S.",Naunyn Schmiedebergs Arch Pharmacol,2018,10.1007/s00210-018-1466-8,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,Methods describes n=12 in each group. Table 1 shows n=10 for controls and n=11 for CRS.
29317595,Hippocampal metabolic differences implicate distinctions between physical and psychological stress in four rat models of depression,"Liu L, Zhou X, Zhang Y, Pu J, Yang L, Yuan S, Zhao L, Zhou C, Zhang H, Xie P.",Transl Psychiatry,2018,10.1038/s41398-017-0018-1,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"""Each individual model included 28–30 rats after screening. The screening process was performed as previously described20,21. The remaining rats were then randomly allocated to the stress or control group."""
29175030,Changes of the brain activities after chronic restraint stress in rats: A study based on (18)F-FDG PET,"Wei K, Bao W, Zhao Z, Zhou W, Liu J, Wei Y, Li M, Wu X, Liu B, Du Y, Gong W, Dong J.",Neurosci Lett,2018,10.1016/j.neulet.2017.11.047,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"""Rats were randomly divided into 2 groups: the normal control group and the CRS group, with 10 rats in each group"", but Fig 3 (FST) reports n=8."
28866053,Anti-oxidative effects of safranal on immobilization-induced oxidative damage in rat brain,"Samarghandian S, Samini F, Azimi-Nezhad M, Farkhondeh T.",Neurosci Lett,2017,10.1016/j.neulet.2017.08.065,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Data complete,Yes,Unclear,Rats' sex not given.
28763303,Insights into the potential antidepressant mechanisms of cilostazol in chronically restraint rats: impact on the Nrf2 pathway,"Abuelezz SA, Hendawy N.",Behav Pharmacol,2018,10.1097/FBP.0000000000000335,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
